date,sales,units_sold,marketing_spend,customer_count
2024-11-26,8097.45,152,708.72,90
2024-11-27,8111.17,173,526.23,105
2024-11-28,7264.65,140,939.03,89
2024-11-29,7672.67,152,639.87,113
2024-11-30,7428.0,147,619.33,109
2024-12-01,7676.0,155,676.31,91
2024-12-02,8466.81,173,696.05,104
2024-12-03,7939.95,163,514.9,99
2024-12-04,7340.45,144,729.53,87
2024-12-05,6730.35,134,555.4,86
2024-12-06,6969.78,141,750.32,80
2024-12-07,6361.74,126,845.8,68
2024-12-08,7532.02,159,825.89,100
2024-12-09,6655.1,136,660.82,89
2024-12-10,7789.07,159,646.86,89
2024-12-11,7002.95,143,530.83,96
2024-12-12,6437.22,135,798.64,74
2024-12-13,6026.1,121,563.33,78
2024-12-14,6434.64,122,637.31,89
2024-12-15,6758.2,137,566.89,84
2024-12-16,7588.44,149,528.73,99
2024-12-17,7515.71,148,698.61,89
2024-12-18,7409.54,151,511.17,91
2024-12-19,6995.66,146,776.18,85
2024-12-20,7005.63,140,576.42,80
2024-12-21,7407.45,150,500.03,91
2024-12-22,7388.89,156,643.13,77
2024-12-23,8077.12,163,509.6,96
2024-12-24,12475.67,263,564.64,153
2024-12-25,8687.49,177,745.5,106
2024-12-26,8275.28,157,512.95,101
2024-12-27,8163.36,167,865.69,101
2024-12-28,8423.32,170,500.77,110
2024-12-29,8577.94,178,556.69,116
2024-12-30,8892.45,181,770.11,105
